005  00119 |Loss: 1.089 | Acc: 60.156% 
005  00120 |Loss: 1.012 | Acc: 62.891% 
005  00121 |Loss: 1.022 | Acc: 62.500% 
005  00122 |Loss: 1.021 | Acc: 60.026% 
005  00123 |Loss: 1.024 | Acc: 58.371% 
005  00124 |Loss: 1.015 | Acc: 58.203% 
005  00125 |Loss: 1.015 | Acc: 58.420% 
005  00126 |Loss: 1.013 | Acc: 58.203% 
005  00127 |Loss: 1.009 | Acc: 58.523% 
005  00128 |Loss: 1.014 | Acc: 59.115% 
005  00129 |Loss: 1.031 | Acc: 59.375% 
005  00130 |Loss: 1.041 | Acc: 59.431% 
005  00131 |Loss: 1.034 | Acc: 59.635% 
005  00132 |Loss: 1.031 | Acc: 59.961% 
005  00133 |Loss: 1.027 | Acc: 60.202% 
005  00134 |Loss: 1.025 | Acc: 59.896% 
005  00135 |Loss: 1.027 | Acc: 60.156% 
005  00136 |Loss: 1.018 | Acc: 59.844% 
005  00137 |Loss: 1.012 | Acc: 59.896% 
005  00138 |Loss: 1.004 | Acc: 60.121% 
005  00139 |Loss: 1.007 | Acc: 60.428% 
005  00140 |Loss: 1.001 | Acc: 60.384% 
005  00141 |Loss: 0.992 | Acc: 60.562% 
005  00142 |Loss: 0.988 | Acc: 60.457% 
005  00143 |Loss: 0.988 | Acc: 60.127% 
005  00144 |Loss: 0.986 | Acc: 60.128% 
005  00145 |Loss: 0.975 | Acc: 60.222% 
006  00146 |Loss: 0.974 | Acc: 56.250% 
006  00147 |Loss: 0.932 | Acc: 60.938% 
006  00148 |Loss: 0.885 | Acc: 62.500% 
006  00149 |Loss: 0.909 | Acc: 61.914% 
006  00150 |Loss: 0.915 | Acc: 62.031% 
006  00151 |Loss: 0.917 | Acc: 61.068% 
006  00152 |Loss: 0.903 | Acc: 62.054% 
006  00153 |Loss: 0.899 | Acc: 61.621% 
006  00154 |Loss: 0.890 | Acc: 61.806% 
006  00155 |Loss: 0.874 | Acc: 62.422% 
006  00156 |Loss: 0.867 | Acc: 62.500% 
006  00157 |Loss: 0.889 | Acc: 62.044% 
006  00158 |Loss: 0.887 | Acc: 61.779% 
006  00159 |Loss: 0.890 | Acc: 61.328% 
006  00160 |Loss: 0.882 | Acc: 61.771% 
006  00161 |Loss: 0.870 | Acc: 62.158% 
006  00162 |Loss: 0.871 | Acc: 61.903% 
006  00163 |Loss: 0.869 | Acc: 62.153% 
006  00164 |Loss: 0.871 | Acc: 62.007% 
006  00165 |Loss: 0.867 | Acc: 62.305% 
006  00166 |Loss: 0.872 | Acc: 62.612% 
006  00167 |Loss: 0.872 | Acc: 63.033% 
006  00168 |Loss: 0.874 | Acc: 62.874% 
006  00169 |Loss: 0.884 | Acc: 62.500% 
006  00170 |Loss: 0.881 | Acc: 62.281% 
006  00171 |Loss: 0.880 | Acc: 62.440% 
006  00172 |Loss: 0.881 | Acc: 62.095% 
006  00173 |Loss: 0.883 | Acc: 61.663% 
006  00174 |Loss: 0.877 | Acc: 61.607% 
007  00175 |Loss: 0.771 | Acc: 65.625% 
007  00176 |Loss: 1.043 | Acc: 59.375% 
007  00177 |Loss: 1.034 | Acc: 59.115% 
007  00178 |Loss: 0.993 | Acc: 58.789% 
007  00179 |Loss: 0.957 | Acc: 58.750% 
007  00180 |Loss: 0.992 | Acc: 55.859% 
007  00181 |Loss: 0.975 | Acc: 55.134% 
007  00182 |Loss: 0.982 | Acc: 53.516% 
007  00183 |Loss: 0.995 | Acc: 53.733% 
007  00184 |Loss: 0.993 | Acc: 54.922% 
007  00185 |Loss: 0.986 | Acc: 55.824% 
007  00186 |Loss: 1.007 | Acc: 55.924% 
007  00187 |Loss: 1.000 | Acc: 56.430% 
007  00188 |Loss: 0.984 | Acc: 57.478% 
007  00189 |Loss: 0.973 | Acc: 58.177% 
007  00190 |Loss: 0.968 | Acc: 58.691% 
007  00191 |Loss: 0.975 | Acc: 59.237% 
007  00192 |Loss: 0.972 | Acc: 58.984% 
007  00193 |Loss: 0.970 | Acc: 59.334% 
007  00194 |Loss: 0.967 | Acc: 59.727% 
007  00195 |Loss: 0.962 | Acc: 60.231% 
007  00196 |Loss: 0.964 | Acc: 60.121% 
007  00197 |Loss: 0.962 | Acc: 60.088% 
007  00198 |Loss: 0.965 | Acc: 60.156% 
007  00199 |Loss: 0.957 | Acc: 60.406% 
007  00200 |Loss: 0.957 | Acc: 60.397% 
007  00201 |Loss: 0.954 | Acc: 60.359% 
007  00202 |Loss: 0.950 | Acc: 60.379% 
007  00203 |Loss: 0.950 | Acc: 60.305% 
008  00204 |Loss: 0.819 | Acc: 63.281% 
008  00205 |Loss: 0.853 | Acc: 64.844% 
008  00206 |Loss: 0.856 | Acc: 62.500% 
008  00207 |Loss: 0.948 | Acc: 61.914% 
008  00208 |Loss: 0.950 | Acc: 62.344% 
008  00209 |Loss: 0.971 | Acc: 61.849% 
008  00210 |Loss: 0.940 | Acc: 62.835% 
008  00211 |Loss: 0.919 | Acc: 63.184% 
008  00212 |Loss: 0.904 | Acc: 63.194% 
008  00213 |Loss: 0.890 | Acc: 62.812% 
008  00214 |Loss: 0.877 | Acc: 62.926% 
008  00215 |Loss: 0.865 | Acc: 63.021% 
008  00216 |Loss: 0.868 | Acc: 62.921% 
008  00217 |Loss: 0.869 | Acc: 63.058% 
008  00218 |Loss: 0.871 | Acc: 63.073% 
008  00219 |Loss: 0.866 | Acc: 63.086% 
008  00220 |Loss: 0.863 | Acc: 63.189% 
008  00221 |Loss: 0.851 | Acc: 63.542% 
008  00222 |Loss: 0.852 | Acc: 63.281% 
008  00223 |Loss: 0.852 | Acc: 63.438% 
008  00224 |Loss: 0.858 | Acc: 63.021% 
008  00225 |Loss: 0.857 | Acc: 62.536% 
008  00226 |Loss: 0.860 | Acc: 62.636% 
008  00227 |Loss: 0.865 | Acc: 62.793% 
008  00228 |Loss: 0.868 | Acc: 62.719% 
008  00229 |Loss: 0.870 | Acc: 62.650% 
008  00230 |Loss: 0.870 | Acc: 62.616% 
008  00231 |Loss: 0.871 | Acc: 62.612% 
008  00232 |Loss: 0.872 | Acc: 62.576% 
009  00233 |Loss: 0.818 | Acc: 68.750% 
009  00234 |Loss: 0.890 | Acc: 62.500% 
009  00235 |Loss: 0.889 | Acc: 66.406% 
009  00236 |Loss: 0.889 | Acc: 65.430% 
009  00237 |Loss: 0.883 | Acc: 65.156% 
009  00238 |Loss: 0.883 | Acc: 64.714% 
009  00239 |Loss: 0.899 | Acc: 63.839% 
009  00240 |Loss: 0.889 | Acc: 63.672% 
009  00241 |Loss: 0.881 | Acc: 63.715% 
009  00242 |Loss: 0.885 | Acc: 63.281% 
009  00243 |Loss: 0.886 | Acc: 62.642% 
009  00244 |Loss: 0.884 | Acc: 62.370% 
